uncertaincheck,casrn,name,average_mass,endpoint,new_rfc,source,subsource,type,duration,species,dxw,daf,pod_hec,interspecies,intraspecies,subtochronic,loaectonoaec,allufs,toxval_numeric,toxval_units,value_ppb,toxicological_effect,study_type,source_url,subsource_url,entry_modified_br,additional_notes_br,long_ref,
,107-02-8,Acrolein,56,cardiovascular,0,ATSDR Tox Profile,Feron et al. 1978,NOAEC,subchronic,ratmouse,0,0,35,3,10,10,1,300,,.,1400,.,.,.,.,,.,.,
,107-02-8,Acrolein,56,hematological,0,ATSDR Tox Profile,Sinkuvene 1970,NOAEC,subchronic,ratmouse,1,0,45,3,10,10,1,300,,.,320,.,.,.,.,,.,.,
,107-02-8,Acrolein,56,hepatic,0,ATSDR Tox Profile,Lyon et al. 1970,NOAEC,subchronic,ratmouse,1,0,31,3,10,10,1,300,,.,220,.,.,.,.,,.,.,
,107-02-8,Acrolein,56,neurological,0,ATSDR Tox Profile,Kutzman et al. 1984,LOAEC,subchronic,ratmouse,0,0,100,3,10,10,10,3000,,.,4000,.,.,.,.,,.,.,
,107-02-8,Acrolein,56,renal,0,ATSDR Tox Profile,Feron et al. 1978,NOAEC,subchronic,ratmouse,0,0,35,3,10,10,1,300,,.,1400,.,.,.,.,,.,.,
,107-02-8,Acrolein,56,reproductive,0,ATSDR Tox Profile,Kutzman 1981,LOAEC,subchronic,ratmouse,0,0,100,3,10,10,10,3000,,.,4000,.,.,.,.,,https://iris.epa.gov/static/pdfs/0364tr.pdf,.,
,107-02-8,Acrolein,56,respiratory,0,IRIS,IRIS Summary,RfC,chronic,human,,,,,,,,,0,mg/m3,0,Nasal lesions in male/female rats,Toxicity Value,https://www.epa.gov/iris,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=364,,DAF=0.14 https://iris.epa.gov/static/pdfs/0364tr.pdf,.,
,107-02-8,Acrolein,56,systemic,0,ATSDR Tox Profile,Sinkuvene 1970,NOAEC,subchronic,ratmouse,1,0,8,3,10,10,1,300,,.,60,.,.,.,.,,https://www.govinfo.gov/content/pkg/GOVPUB-HE20-PURL-gpo48988/pdf/GOVPUB-HE20-PURL-gpo48988.pdf,.,
,107-06-2,"1,2-Dichloroethane",99,cardiovascular,347,ATSDR Tox Profile,Cheever et al. 1990,NOAEC,chronic,ratmouse,0,1,10417,3,10,1,1,30,,.,50000,.,.,.,.,,.,.,
,107-06-2,"1,2-Dichloroethane",99,developmental,60,ECHA IUCLID,Developmental Toxicity Teratogenicity,NOAEC,.,ratmouse,0,1,17857,3,10,10,1,300,,.,100000,.,.,.,.,,.,.,
